name,createdAt,updatedAt,stars,language,releases,pullRequests,issues,closedIssues
freeCodeCamp,2014-12-24T17:49:19Z,2024-08-21T18:25:16Z,399392,TypeScript,0,22848,18190,18007
free-programming-books,2013-10-11T06:50:37Z,2024-08-21T18:26:57Z,331838,Unknown,0,6481,1091,1064
awesome,2014-07-11T13:42:37Z,2024-08-21T18:23:28Z,320264,Unknown,0,651,340,327
public-apis,2016-03-20T23:49:42Z,2024-08-21T18:27:39Z,310385,Python,0,1872,600,588
coding-interview-university,2016-06-06T02:34:12Z,2024-08-21T18:12:35Z,302732,Unknown,0,411,438,394
build-your-own-x,2018-05-09T12:03:18Z,2024-08-21T18:05:20Z,295955,Unknown,0,139,663,481
developer-roadmap,2017-03-15T13:45:52Z,2024-08-21T18:20:46Z,288203,TypeScript,1,2589,2164,2128
996.ICU,2019-03-26T07:31:14Z,2024-08-21T15:22:45Z,269629,Unknown,0,1066,0,0
system-design-primer,2017-02-26T16:15:28Z,2024-08-21T18:20:58Z,267510,Python,0,198,295,84
react,2013-05-24T16:15:54Z,2024-08-21T18:27:20Z,226506,JavaScript,101,10673,13095,12425
awesome-python,2014-06-27T21:00:06Z,2024-08-21T18:25:43Z,216311,Python,0,543,0,0
vue,2013-07-29T03:24:51Z,2024-08-21T18:26:20Z,207585,TypeScript,249,1135,10015,9660
project-based-learning,2017-04-12T05:07:46Z,2024-08-21T18:08:54Z,192984,Unknown,0,182,160,69
awesome-selfhosted,2015-06-01T02:33:17Z,2024-08-21T18:25:39Z,191597,Unknown,1,2392,804,804
javascript-algorithms,2018-03-24T07:47:04Z,2024-08-21T18:13:50Z,186339,JavaScript,0,299,351,223
tensorflow,2015-11-07T01:19:20Z,2024-08-21T18:24:02Z,184822,C++,208,22332,39646,37868
Python,2016-07-16T09:44:01Z,2024-08-21T18:10:02Z,183437,Python,0,2796,1457,1430
You-Dont-Know-JS,2013-11-16T02:37:24Z,2024-08-21T16:51:13Z,178654,Unknown,0,367,925,846
linux,2011-09-04T22:48:12Z,2024-08-21T18:20:16Z,176665,C,0,10,0,0
CS-Notes,2018-02-13T14:56:24Z,2024-08-21T16:38:03Z,174346,Unknown,0,374,578,446
ohmyzsh,2009-08-28T18:15:37Z,2024-08-21T17:53:29Z,171852,Shell,0,3188,4795,4677
